State,Total nonfarm,Mining and logging,Construction,Manufacturing,"Trade, transportation, and utilities",Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government
New York,"9,716.80",5.3,395,421.4,"1,459.60",266.7,735.7,"1,375.00","2,271.80",929.4,392.1,"1,464.80"
North Carolina,"4,938.40",5.6,245.6,471.2,940.6,85.2,296.9,759.5,692.6,536.4,173.9,730.9
North Dakota,439,19.8,24.7,27.5,92.3,5.5,24.3,35.9,68.7,40.8,15.3,84.2
Ohio,"5,655.90",9.4,253,689.5,"1,054.90",67.1,316.2,737.7,956.7,574.1,219.6,777.7
Oklahoma,"1,735.60",32,83.2,135.5,322.3,17.3,81.6,201.1,249.7,182.7,67.3,362.9
Oregon,"2,002.30",6.5,127.8,191.4,362.9,36.3,107.8,273.1,315.9,207.7,65.2,307.7
Pennsylvania,"6,168.10",23.3,265.8,564.1,"1,163.60",96.9,341.7,864.2,"1,332.20",567.4,261.3,687.6
Rhode Island,495,0.2,21.3,40.2,75,,35.2,67,107.5,57,21.1,64.9
South Carolina,"2,314.00",4.6,110.9,261.8,445.9,31.8,121.4,316.8,284.3,277.3,82.6,376.6
South Dakota,466.5,1.2,27.9,45.9,92.3,5.2,27.9,39.3,78.5,48.8,17.9,81.6
Tennessee,"3,317.60",4.3,149.9,369,682.3,55.4,175.1,470,472.4,355.5,131.4,452.3
Texas,"14,048.20",225.9,810.5,973.3,"2,804.30",240.9,925.2,"2,144.80","1,914.40","1,469.70",470.9,"2,068.30"
Utah,"1,732.20",10.3,136,151.8,313.6,47.5,97.4,250.9,234.9,177,48.8,264
Vermont,307.7,0.7,15.4,27.8,52.3,4.5,12.1,32.4,62.2,34.2,9.7,56.4
Virginia,"4,164.50",7.1,212.6,245.6,671.3,70.8,216.7,814.2,584.3,405,195.4,741.5
Washington,"3,650.40",5.7,235.4,277,621.4,164.1,169.3,560.8,555.6,349.4,124.6,587.1
West Virginia,706.2,22.1,32.9,45,121,7.8,25.8,73.4,131.5,68.8,26,151.9
Wisconsin,"3,013.90",3.8,135.1,478.4,553.9,43.4,161,332,476.2,273.7,150.1,406.3
Wyoming,293.3,16.7,22.8,10.5,52.3,3.1,11.5,21.1,30.8,39.7,16.3,68.5
